capability_id,interface_id,transport,producer,consumer,classification,ui_route,ui_entry,scope,risk,status_coverage,test_id,evidence,owner,gap,status
CAP-0017,/api/v1/ai/nl2sql,REST,query-api,/api/v1/ai/nl2sql/translate,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0018,/api/v1/ai/nl2sql/,REST,query-api,/api/v1/ai/nl2sql/translate,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0019,/api/v1/ai/rules,REST,query-api,/api/v1/ai/rules,C,/settings?section=security,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,security,,MAPPED
CAP-0020,/api/v1/ai/rules/,REST,query-api,/api/v1/ai/rules,C,/settings?section=security,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,security,,MAPPED
CAP-0021,/api/v1/ai/runs,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0022,/api/v1/ai/runs/,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0023,/api/v1/ai/runs/{runID},REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0024,/api/v1/ai/runs/{runID}/cancel,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0025,/api/v1/ai/runs/{runID}/events,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0026,/api/v1/ai/runs/{runID}/evidences,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0027,/api/v1/ai/runs/{runID}/evidences/{evidenceID},REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0028,/api/v1/ai/runs/{runID}/graph-context,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0029,/api/v1/ai/runs/{runID}/tools,REST,query-api,/api/v1/ai/runs,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0030,/api/v1/ai/session/,REST,query-api,/api/v1/ai/session,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0031,/api/v1/ai/sessions,REST,query-api,/api/v1/ai/sessions,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0032,/api/v1/ai/shell/check,REST,query-api,/api/v1/ai/shell/check,C,/settings?section=security,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,security,,MAPPED
CAP-0033,/api/v1/ai/skills,REST,query-api,/api/v1/ai/skills,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0034,/api/v1/ai/skills/,REST,query-api,/api/v1/ai/skills,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0035,/api/v1/ai/suggestion,REST,query-api,/api/v1/ai/suggestion/execute,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0036,/api/v1/ai/suggestion/,REST,query-api,/api/v1/ai/suggestion/execute,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0037,/api/v1/ai/workflows,REST,query-api,/api/v1/ai/workflows,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0038,/api/v1/ai/workflows/,REST,query-api,/api/v1/ai/workflows,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0039,/api/v1/alerts/,REST,query-api,/api/v1/alerts/rules,B,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,alerts,,MAPPED
CAP-0040,/api/v1/alerts/aggregation,REST,query-api,/api/v1/alerts/aggregation,B,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,alerts,,MAPPED
CAP-0041,/api/v1/alerts/events,REST,query-api,/api/v1/alerts/events,B,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,alerts,,MAPPED
CAP-0042,/api/v1/alerts/events/,REST,query-api,/api/v1/alerts/events,B,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,alerts,,MAPPED
CAP-0043,/api/v1/alerts/rules,REST,query-api,/api/v1/alerts/rules,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0044,/api/v1/alerts/rules/,REST,query-api,/api/v1/alerts/rules,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0045,/api/v1/alerts/silences,REST,query-api,/api/v1/alerts/silences,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0046,/api/v1/alerts/silences/,REST,query-api,/api/v1/alerts/silences,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0047,/api/v1/auth/change-password,REST,query-api,/api/v1/auth,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0048,/api/v1/auth/login,REST,query-api,/api/v1/auth,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0049,/api/v1/auth/logout,REST,query-api,/api/v1/auth,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0050,/api/v1/capacity/forecast,REST,query-api,/api/v1/capacity/forecast,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0051,/api/v1/capacity/instances,REST,query-api,/api/v1/capacity/instances,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0052,/api/v1/catalog/services,REST,query-api,/api/v1/catalog/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0053,/api/v1/catalog/services/,REST,query-api,/api/v1/catalog/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0054,/api/v1/clusters,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0055,/api/v1/clusters/,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0056,/api/v1/clusters/{clusterId}/knowledge,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0057,/api/v1/clusters/{clusterId}/knowledge/,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0058,/api/v1/clusters/{clusterId}/overview,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0059,/api/v1/clusters/{clusterId}/runtime,REST,query-api,/api/v1/clusters,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0060,/api/v1/dashboard/panels,REST,query-api,/api/v1/dashboard/panels,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0061,/api/v1/dashboard/panels/,REST,query-api,/api/v1/dashboard/panels,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0062,/api/v1/dashboard/resources,REST,query-api,/api/v1/dashboard/resources,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0063,/api/v1/dashboard/stats,REST,query-api,/api/v1/dashboard/stats,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0064,/api/v1/data/sync,REST,query-api,/api/v1/data/sync,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0065,/api/v1/deepflow/status,REST,query-api,/api/v1/deepflow/status,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0066,/api/v1/devices,REST,query-api,/api/v1/devices,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0067,/api/v1/devices/,REST,query-api,/api/v1/devices,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0068,/api/v1/health,REST,query-api,none,D,,,tenant+cluster,internal,loading|success|empty|partial|stale|failed|forbidden,,,internal,,API_ONLY_OK
CAP-0069,/api/v1/infrastructure/deployments,REST,query-api,/api/v1/infrastructure/deployments,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0070,/api/v1/infrastructure/hpa,REST,query-api,/api/v1/infrastructure/hpa,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0071,/api/v1/infrastructure/namespaces,REST,query-api,/api/v1/infrastructure/namespaces,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0072,/api/v1/infrastructure/nodes,REST,query-api,/api/v1/infrastructure/nodes,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0073,/api/v1/infrastructure/pods,REST,query-api,/api/v1/infrastructure/pods,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0074,/api/v1/infrastructure/pods/,REST,query-api,/api/v1/infrastructure/pods,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0075,/api/v1/infrastructure/vms,REST,query-api,/api/v1/infrastructure/vms,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0076,/api/v1/infrastructure/vms/,REST,query-api,/api/v1/infrastructure/vms,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0077,/api/v1/ipmi,REST,query-api,/api/v1/ipmi,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0078,/api/v1/ipmi/,REST,query-api,/api/v1/ipmi,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0079,/api/v1/login,REST,query-api,/api/v1/login,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0080,/api/v1/logs/aggregate,REST,query-api,/api/v1/logs/aggregate,B,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,telemetry,,MAPPED
CAP-0081,/api/v1/logs/query,REST,query-api,/api/v1/logs/query,B,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,telemetry,,MAPPED
CAP-0082,/api/v1/logs/victorialogs,REST,query-api,/api/v1/logs/victorialogs,B,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,telemetry,,MAPPED
CAP-0083,/api/v1/mcp/call,REST,query-api,/api/v1/mcp,C,/settings?section=mcp,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,mcp,,MAPPED
CAP-0084,/api/v1/mcp/tools,REST,query-api,/api/v1/mcp,C,/settings?section=mcp,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,mcp,,MAPPED
CAP-0085,/api/v1/me,REST,query-api,/api/v1/me/scope,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0086,/api/v1/me/scope,REST,query-api,/api/v1/me/scope,B,topbar-account,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,account,,MAPPED
CAP-0087,/api/v1/metrics/query,REST,query-api,/api/v1/metrics/query,B,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,telemetry,,MAPPED
CAP-0088,/api/v1/metrics/query_range,REST,query-api,none,D,,,tenant+cluster,internal,loading|success|empty|partial|stale|failed|forbidden,,,internal,,API_ONLY_OK
CAP-0089,/api/v1/node,REST,query-api,/api/v1/node/health,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0090,/api/v1/node/,REST,query-api,/api/v1/node/health,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0091,/api/v1/nodes/metrics,REST,query-api,/api/v1/nodes/metrics,A,/clusters/:clusterUid/overview?section=compute,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,clusters,,MAPPED
CAP-0092,/api/v1/observability/paths,REST,query-api,/api/v1/observability/paths,A,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,observability,,MAPPED
CAP-0093,/api/v1/observability/paths/,REST,query-api,/api/v1/observability/paths,A,/observability,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,observability,,MAPPED
CAP-0094,/api/v1/ops/,REST,query-api,/api/v1/ops/audit-logs,B,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,actions,,MAPPED
CAP-0095,/api/v1/ops/reports,REST,query-api,/api/v1/ops/reports,A,/reports,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,reports,,MAPPED
CAP-0096,/api/v1/ops/reports/,REST,query-api,/api/v1/ops/reports,A,/reports,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,reports,,MAPPED
CAP-0097,/api/v1/platform/capacity,REST,query-api,/api/v1/platform,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0098,/api/v1/platform/clusters,REST,query-api,/api/v1/platform,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0099,/api/v1/platform/overview,REST,query-api,/api/v1/platform,A,/overview,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,overview,,MAPPED
CAP-0100,/api/v1/resources/catalog,REST,query-api,/api/v1/resources/catalog,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0101,/api/v1/resources/detail,REST,query-api,/api/v1/resources/detail,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0102,/api/v1/resources/resolve,REST,query-api,/api/v1/resources/resolve,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0103,/api/v1/resources/summary,REST,query-api,/api/v1/resources/summary,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0104,/api/v1/services,REST,query-api,/api/v1/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0105,/api/v1/services/,REST,query-api,/api/v1/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0106,/api/v1/services/dependency-matrix,REST,query-api,/api/v1/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0107,/api/v1/services/map,REST,query-api,/api/v1/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0108,/api/v1/services/overview,REST,query-api,/api/v1/services,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0109,/api/v1/settings/k8s,REST,query-api,/api/v1/settings,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0110,/api/v1/settings/llm,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0111,/api/v1/settings/llm/config,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0112,/api/v1/settings/llm/history,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0113,/api/v1/settings/llm/history/,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0114,/api/v1/settings/llm/internal,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0115,/api/v1/settings/llm/models,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0116,/api/v1/settings/llm/providers,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0117,/api/v1/settings/llm/providers/,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0118,/api/v1/settings/llm/test,REST,query-api,/api/v1/settings,C,/settings?section=llm,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,llm,,MAPPED
CAP-0119,/api/v1/shell/ws,REST,query-api,none,D,,,tenant+cluster,internal,loading|success|empty|partial|stale|failed|forbidden,,,internal,,API_ONLY_OK
CAP-0120,/api/v1/slo,REST,query-api,/api/v1/slo,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0121,/api/v1/slo/,REST,query-api,/api/v1/slo,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0122,/api/v1/snmp,REST,query-api,/api/v1/snmp,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0123,/api/v1/snmp/,REST,query-api,/api/v1/snmp,C,/settings?section=integrations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,integrations,,MAPPED
CAP-0124,/api/v1/system/alert-investigation-policy,REST,query-api,/api/v1/system,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0125,/api/v1/system/cache,REST,query-api,/api/v1/system,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0126,/api/v1/system/cache/invalidate,REST,query-api,/api/v1/system,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0127,/api/v1/system/components,REST,query-api,/api/v1/system,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0128,/api/v1/system/status,REST,query-api,/api/v1/system,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0129,/api/v1/tenants,REST,query-api,/api/v1/tenants,C,/settings?section=security,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,security,,MAPPED
CAP-0130,/api/v1/tenants/,REST,query-api,/api/v1/tenants,C,/settings?section=security,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,security,,MAPPED
CAP-0131,/api/v1/topology/global,REST,query-api,/api/v1/topology/global,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0132,/api/v1/topology/node-types,REST,query-api,/api/v1/topology/node-types,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0133,/api/v1/topology/node-types/,REST,query-api,/api/v1/topology/node-types,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0134,/api/v1/topology/node/,REST,query-api,/api/v1/topology/node/:id,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0135,/api/v1/topology/nodes,REST,query-api,/api/v1/topology/nodes,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0136,/api/v1/topology/nodes/,REST,query-api,/api/v1/topology/nodes,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0137,/api/v1/topology/relation-types,REST,query-api,/api/v1/topology/relation-types,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0138,/api/v1/topology/relation-types/,REST,query-api,/api/v1/topology/relation-types,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0139,/api/v1/topology/relations,REST,query-api,/api/v1/topology/relations,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0140,/api/v1/topology/relations/,REST,query-api,/api/v1/topology/relations,B,/clusters/:clusterUid/overview?tab=resources,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,resources,,MAPPED
CAP-0141,/api/v1/topology/sync,REST,query-api,/api/v1/topology/sync,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0142,/api/v1/topology/sync-catalog,REST,query-api,/api/v1/topology/sync-catalog,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
